2020-02-08 16:40:09.8192 | INFO | User profile is available. Using 'C:\Users\nazyar\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |  | Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager | url:  | action: 
2020-02-08 16:40:12.0835 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: 
2020-02-08 16:40:12.3329 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-08 16:40:12.3438 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.Collections.Generic.IEnumerable`1[System.String]] Get() on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-08 16:40:28.0385 | INFO | Executing action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) - Validation state: Valid |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-08 16:40:28.0385 | INFO |  call get methode by npb |  | TamrinLogger.Controllers.ValuesController | url: https://localhost/api/values | action: Get
2020-02-08 16:40:28.0385 | INFO | Executed action method TamrinLogger.Controllers.ValuesController.Get (TamrinLogger), returned result Microsoft.AspNetCore.Mvc.ObjectResult in 1.3538ms. |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-08 16:40:28.0385 | INFO | Executing ObjectResult, writing value of type 'System.String[]'. |  | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | url: https://localhost/api/values | action: Get
2020-02-08 16:40:28.2663 | INFO | Executed action TamrinLogger.Controllers.ValuesController.Get (TamrinLogger) in 15919.0314ms |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values | action: Get
2020-02-08 16:40:28.2663 | INFO | Executed endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values | action: Get
2020-02-08 16:40:28.2713 | INFO | Request finished in 16188.2909ms 200 application/json; charset=utf-8 |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values | action: Get
2020-02-08 16:40:50.3510 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values1   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values1 | action: 
2020-02-08 16:40:50.3798 | INFO | Request finished in 28.843ms 404  |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values1 | action: 
2020-02-08 16:40:50.4074 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/favicon.ico   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/favicon.ico | action: 
2020-02-08 16:40:50.4074 | INFO | Request finished in 0.7162ms 404  |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/favicon.ico | action: 
2020-02-08 16:40:56.1210 | INFO | Request starting HTTP/2.0 GET https://localhost:44394/api/values/1   |  | Microsoft.AspNetCore.Hosting.Internal.WebHost | url: https://localhost/api/values/1 | action: 
2020-02-08 16:40:56.1210 | INFO | Executing endpoint 'TamrinLogger.Controllers.ValuesController.Get (TamrinLogger)' |  | Microsoft.AspNetCore.Routing.EndpointMiddleware | url: https://localhost/api/values/1 | action: Get
2020-02-08 16:40:56.1562 | INFO | Route matched with {action = "Get", controller = "Values"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.String] Get(Int32) on controller TamrinLogger.Controllers.ValuesController (TamrinLogger). |  | Microsoft.AspNetCore.Mvc.Internal.ControllerActionInvoker | url: https://localhost/api/values/1 | action: Get
